,City,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Description,Wind_Speed,Country,Date
60,port elizabeth,-33.92,25.57,12.0,100,0,clear sky,1.5,ZA,2020-05-10 02:26:52
61,cidreira,-30.18,-50.21,17.230000000000018,83,0,clear sky,3.53,BR,2020-05-10 02:26:53
62,victoria,-4.62,55.45,29.0,79,75,broken clouds,3.6,SC,2020-05-10 02:26:53
63,yellowknife,62.46,-114.35,2.0,47,5,clear sky,5.1,CA,2020-05-10 02:22:02
64,the valley,18.22,-63.06,27.220000000000027,74,40,scattered clouds,5.7,AI,2020-05-10 02:26:54
65,mahebourg,-20.41,57.7,24.0,73,40,scattered clouds,3.6,MU,2020-05-10 02:26:54
66,meulaboh,4.14,96.13,27.210000000000036,84,100,overcast clouds,2.02,ID,2020-05-10 02:26:54
67,qaanaaq,77.48,-69.36,-12.489999999999952,83,99,overcast clouds,1.91,GL,2020-05-10 02:26:55
68,acapulco,16.86,-99.89,28.0,78,5,clear sky,2.6,MX,2020-05-10 02:26:55
69,torbay,47.67,-52.73,7.220000000000027,93,90,moderate rain,13.4,CA,2020-05-10 02:26:55
70,san cristobal,-0.9,-89.62,25.30000000000001,87,0,clear sky,3.18,EC,2020-05-10 02:26:56
71,geraldton,-28.77,114.6,24.0,27,95,overcast clouds,7.7,AU,2020-05-10 02:26:56
72,baykit,61.67,96.37,9.939999999999998,46,3,clear sky,5.14,RU,2020-05-10 02:26:57
73,saint-philippe,-21.36,55.77,20.0,77,75,broken clouds,3.6,RE,2020-05-10 02:26:05
74,salalah,17.02,54.09,28.0,83,75,broken clouds,1.0,OM,2020-05-10 02:26:57
75,norman wells,65.28,-126.83,9.0,45,5,clear sky,7.7,CA,2020-05-10 02:26:58
76,atuona,-9.8,-139.03,27.200000000000045,78,91,overcast clouds,7.99,PF,2020-05-10 02:26:58
77,georgetown,6.8,-58.16,25.0,88,20,few clouds,2.1,GY,2020-05-10 02:26:59
78,shaunavon,49.65,-108.42,6.060000000000002,63,56,broken clouds,5.13,CA,2020-05-10 02:22:17
79,estevan,49.13,-102.98,5.0,48,75,broken clouds,3.6,CA,2020-05-10 02:26:59
80,lorengau,-2.02,147.27,30.57000000000005,69,5,clear sky,4.33,PG,2020-05-10 02:27:00
81,bluff,-46.6,168.33,14.730000000000018,73,55,broken clouds,2.66,NZ,2020-05-10 02:27:00
82,tuktoyaktuk,69.45,-133.04,3.0,74,40,scattered clouds,5.7,CA,2020-05-10 02:27:01
83,vaini,-21.2,-175.2,24.0,100,75,light intensity shower rain,6.2,TO,2020-05-10 02:27:01
84,severo-kurilsk,50.68,156.12,1.4300000000000068,87,94,overcast clouds,7.59,RU,2020-05-10 02:27:01
85,tasiilaq,65.61,-37.64,-1.0,68,17,few clouds,6.7,GL,2020-05-10 02:27:02
86,nome,64.5,-165.41,11.0,53,1,clear sky,4.6,US,2020-05-10 02:27:02
87,hithadhoo,-0.6,73.08,29.350000000000023,75,100,light rain,4.99,MV,2020-05-10 02:27:02
88,gumdag,39.21,54.59,23.210000000000036,39,23,few clouds,8.46,TM,2020-05-10 02:27:03
89,paamiut,61.99,-49.67,6.0400000000000205,60,76,broken clouds,6.93,GL,2020-05-10 02:27:03
